Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2015-03-04 22:12:36;2015-03-05 07:27:33;79%;9:14;;;;2068
2015-03-05 23:00:53;2015-03-06 07:14:25;75%;8:13;;;;4627
2015-03-06 23:51:37;2015-03-07 10:27:37;80%;10:36;;;;708
2015-03-08 01:48:02;2015-03-08 11:27:22;100%;8:39;;;;4632
2015-03-08 23:12:19;2015-03-09 07:06:08;63%;7:53;;;;624
2015-03-09 23:09:07;2015-03-10 07:15:17;79%;8:06;;;;547
2015-03-10 22:49:44;2015-03-11 07:00:58;81%;8:11;;;;953
2015-03-11 23:30:32;2015-03-12 07:01:09;84%;7:30;;;;890
2015-03-12 21:57:23;2015-03-13 06:35:44;92%;8:38;:|;;;677
2015-03-14 00:50:45;2015-03-14 10:27:20;89%;9:36;:(;;;5530
2015-03-15 00:09:24;2015-03-15 11:28:57;100%;11:19;;;;2785
2015-03-15 22:31:55;2015-03-16 06:04:25;75%;7:32;;;;2914
2015-03-16 22:42:20;2015-03-17 06:27:32;75%;7:45;;;;5515
2015-03-17 22:54:03;2015-03-18 07:27:13;95%;8:33;;;;4027
2015-03-18 22:26:55;2015-03-19 07:27:25;100%;9:00;;;;6084
2015-03-19 22:31:12;2015-03-20 07:15:45;100%;8:44;;;;3220
2015-03-20 23:38:21;2015-03-21 11:26:31;62%;11:48;;;;1755
2015-03-21 23:39:38;2015-03-22 09:45:13;51%;10:05;;;;3685
2015-03-23 23:11:52;2015-03-24 07:19:46;68%;8:07;;;;2288
2015-03-25 00:32:42;2015-03-25 10:27:27;94%;9:54;;;;5055
2015-03-25 23:32:30;2015-03-26 07:27:29;73%;7:54;;;;4990
2015-03-26 22:51:25;2015-03-27 07:14:04;93%;8:22;;;;5158
2015-03-28 00:13:35;2015-03-28 11:44:42;89%;11:31;;;;2965
2015-03-29 00:28:09;2015-03-29 10:07:11;90%;9:39;;;;2876
2015-03-29 22:31:53;2015-03-30 07:07:51;87%;8:35;;;;656
2015-03-30 22:59:29;2015-03-31 06:23:22;72%;7:23;;;;2340
2015-03-31 22:55:05;2015-04-01 07:06:33;82%;8:11;;;;4826
2015-04-01 22:46:34;2015-04-02 07:15:32;74%;8:28;;;;2897
2015-04-02 23:09:11;2015-04-03 07:03:31;77%;7:54;;;;552
2015-04-04 01:22:59;2015-04-04 14:15:14;83%;12:52;;;;3195
2015-04-05 01:04:16;2015-04-05 11:06:06;76%;10:01;;;;608
2015-04-05 22:39:23;2015-04-06 07:07:13;88%;8:27;;;;2823
2015-04-06 22:39:27;2015-04-07 06:28:00;74%;7:48;;;;3513
2015-04-07 22:39:37;2015-04-08 07:27:29;98%;8:47;;;;4821
2015-04-08 22:52:19;2015-04-09 07:27:27;85%;8:35;;;;1698
2015-04-09 21:56:14;2015-04-10 07:05:11;82%;9:08;;;;2423
2015-04-10 23:14:04;2015-04-11 10:15:25;82%;11:01;;;;1306
2015-04-11 23:58:01;2015-04-12 12:40:29;90%;12:42;;Meditated;;1369
2015-04-12 23:08:34;2015-04-13 07:07:20;79%;7:58;;Meditated;;2157
2015-04-13 22:47:00;2015-04-14 07:26:02;83%;8:39;;Meditated;;2249
2015-04-14 23:50:08;2015-04-15 07:14:26;79%;7:24;;Meditated:Stressful day;;5136
2015-04-15 22:37:20;2015-04-16 07:27:25;82%;8:50;;Meditated;;3762
2015-04-16 22:38:37;2015-04-17 07:22:20;94%;8:43;;Meditated;;9361
2015-04-19 01:29:43;2015-04-19 12:22:47;97%;10:53;;Meditated;;930
2015-04-20 00:28:30;2015-04-20 09:52:11;100%;9:23;;Meditated;;2768
2015-04-20 23:13:40;2015-04-21 07:27:21;85%;8:13;;Drank tea:Meditated;;3041
